county,avg_prcp2012,avg_prcp2017,AcresHarv2012,AcresHarv2017,prcp_change,harv_change
adams,10.73357143,13.66692308,249061,283538,27.32875696714864,13.842793532508098
kitcarson,12.6,24.474,398644,497533,94.23809523809524,24.80634350448019
weld,9.984,15.09857143,426823,477839,51.22767858573718,11.95249553093437
yuma,10.69,20.988000000000003,364045,390328,96.33302151543502,7.2197118488099
phillips,11.19666667,19.22333333,236894,248339,71.68800230077758,4.831274747355358
